"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Guardant Health, Inc.","CA","Healthcare Provider","1112","09/14/2018","Hacking/IT Incident","Email","No",""
"WellCare Health Plans, Inc.","FL","Health Plan","26942","09/14/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Blue Cross & Blue Shield of Rhode Island","RI","Health Plan","1567","09/13/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Leominster Dermatology LLP","MA","Healthcare Provider","500","09/13/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Total Diagnostix II, LLC","TX","Healthcare Provider","855","09/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Simonian Sports Medicine Clinic, A Medical Corporation","CA","Healthcare Provider","1541","09/10/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Ohio Living","OH","Healthcare Provider","6510","09/07/2018","Hacking/IT Incident","Email","No",""
"TMC HealthCare","AZ","Healthcare Provider","1776","09/07/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Rockdale Blackhawk, LLC d/b/a Little River Healthcare","TX","Healthcare Provider","1494","09/07/2018","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Boston Health Care for the Homeless Program","MA","Healthcare Provider","861","09/07/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Catholic Charities Neighborhood Services, Inc.","NY","Healthcare Provider","565","09/07/2018","Hacking/IT Incident","Email","No",""
"J.A. Stokes Ltd.","NV","Healthcare Provider","3200","09/05/2018","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Nebraska Department of Health and Human Services","NE","Health Plan","516","09/04/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Reliable Respiratory","MA","Healthcare Provider","21311","09/01/2018","Hacking/IT Incident","Email","No",""
"Port City Operating Company doing business as St. Joseph's Medical Center","CA","Healthcare Provider","4984","08/31/2018","Loss","Other Portable Electronic Device","Yes",""
"Carpenters Benefit Funds of Philadelphia","PA","Health Plan","20015","08/31/2018","Hacking/IT Incident","Email","No",""
"Hopebridge","IN","Healthcare Provider","1411","08/31/2018","Hacking/IT Incident","Email","No",""
"United Methodist Homes","NY","Healthcare Provider","843","08/31/2018","Unauthorized Access/Disclosure","Email","No",""
"David G. Simon, DMD, PA, d/b/a Simon Orthodontics","FL","Healthcare Provider","15129","08/31/2018","Hacking/IT Incident","Network Server","No",""
"Family Tree Relief Nursery","OR","Healthcare Provider","2000","08/30/2018","Hacking/IT Incident","Network Server","No",""
"Greigh I. Hirata M.D. Inc, dba. Fetal Diagnostic Institute of the Pacific","HI","Healthcare Provider","40800","08/30/2018","Hacking/IT Incident","Network Server","No",""
"First coast podiatric surgery and wound","FL","Business Associate","500","08/27/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Family Medical Group Northeast PC","OR","Healthcare Provider","2077","08/22/2018","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Health Management Concepts, Inc.","FL","Business Associate","502416","08/22/2018","Hacking/IT Incident","Network Server","Yes",""
"Legacy Health","OR","Healthcare Provider","38000","08/20/2018","Hacking/IT Incident","Email","No",""
"Acadiana Computer Systems, Inc.","LA","Business Associate","31151","08/17/2018","Hacking/IT Incident","Email","Yes",""
"Chapman & Chapman, Inc.","OH","Business Associate","2032","08/17/2018","Hacking/IT Incident","Email","Yes",""
"Monroe Operations, LLC d/b/a Newport Academy and Center for Families","TN","Healthcare Provider","1165","08/17/2018","Hacking/IT Incident","Email","No",""
"Authentic Recovery Center, LLC","CA","Healthcare Provider","1790","08/17/2018","Hacking/IT Incident","Email","No",""
"Wardell Orthopaedics, P.C.","VA","Healthcare Provider","552","08/16/2018","Unauthorized Access/Disclosure","Other","No",""
"University Medical Center Physicians","TX","Healthcare Provider","18500","08/16/2018","Hacking/IT Incident","Email","No",""
"AU Medical Center, INC","GA","Healthcare Provider","417000","08/16/2018","Hacking/IT Incident","Email","No",""
"Gordon Schanzlin New Vision Institute","CA","Healthcare Provider","1130","08/10/2018","Theft","Paper/Films","No",""
"Wells Pharmacy Network","FL","Healthcare Provider","10000","08/10/2018","Unauthorized Access/Disclosure","Email, Laptop, Other Portable Electronic Device","No",""
"InterAct of Michigan, Inc.","MI","Healthcare Provider","1290","08/07/2018","Hacking/IT Incident","Email","No",""
"CoreLink Administrative Solutions, LLC","ND","Business Associate","1813","08/06/2018","Hacking/IT Incident","Email","Yes",""
"Central Colorado Dermatology, PC","CO","Healthcare Provider","4065","08/03/2018","Hacking/IT Incident","Network Server","No",""
"CoreSource, Inc.","IL","Business Associate","769","08/03/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Don White, RN, DC, PC dba Canyon Rd Chiropractic and Massage","OR","Healthcare Provider","2900","08/03/2018","Hacking/IT Incident","Network Server","No",""
"Kaiser Foundation Health Plan of Colorado","CO","Health Plan","900","08/03/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Lane County Health & Human Services","OR","Healthcare Provider","715","08/01/2018","Loss","Paper/Films","No",""
"Southwestern Eye Center","AZ","Healthcare Provider","667","08/01/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"SSM Health St. Mary's Hospital - Jefferson City","MO","Healthcare Provider","301000","07/30/2018","Improper Disposal","Paper/Films","No",""
"Iowa Health System d/b/a UnityPoint Health ","IA","Business Associate","1421107","07/30/2018","Hacking/IT Incident","Email","Yes",""
"Confluence Health","WA","Healthcare Provider","33821","07/27/2018","Hacking/IT Incident","Email","No",""
"Ambercare Corporation, Inc.","NM","Healthcare Provider","2284","07/27/2018","Theft","Laptop","No",""
"Longwood Orthopedic Associates, Inc.","MA","Healthcare Provider","10000","07/27/2018","Unauthorized Access/Disclosure","Email","No",""
"Institute on Aging","CA","Healthcare Provider","3907","07/20/2018","Hacking/IT Incident","Email","No",""
"Boys Town National Research Hospital","NE","Healthcare Provider","105309","07/20/2018","Hacking/IT Incident","Email","No",""
"NorthStar Anesthesia","TX","Healthcare Provider","19807","07/20/2018","Hacking/IT Incident","Email","No",""
"MedSpring of Texas, PA","TX","Healthcare Provider","13034","07/20/2018","Hacking/IT Incident","Email","Yes",""
"Orlando Orthopaedic Center","FL","Healthcare Provider","19101","07/20/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Fairbanks North Star Borough","AK","Healthcare Provider","6346","07/19/2018","Hacking/IT Incident","Network Server","Yes",""
"Family Physicians of Old Town Fairfax PC  ","VA","Healthcare Provider","500","07/19/2018","Hacking/IT Incident","Network Server","No",""
"Ruben U. Carvajal, MD","NY","Healthcare Provider","3775","07/17/2018","Hacking/IT Incident","Desktop Computer, Electronic Medical Record","No",""
"Sunspire Health ","NJ","Healthcare Provider","6737","07/16/2018","Hacking/IT Incident","Email","No",""
"PA Dept. of Human Services","PA","Healthcare Provider","2130","07/16/2018","Unauthorized Access/Disclosure","Other","No",""
"Rocky Mountain Health Care Services","CO","Healthcare Provider","1087","07/13/2018","Theft","Laptop","No",""
"Alive Hospice","TN","Healthcare Provider","1868","07/13/2018","Hacking/IT Incident","Email","No",""
"Central New York Cardiology","NY","Healthcare Provider","824","07/13/2018","Loss","Paper/Films","No",""
"Billings Clinic","MT","Healthcare Provider","8435","07/13/2018","Hacking/IT Incident","Email","No",""
"New England Dermatology, P.C.","MA","Healthcare Provider","16154","07/13/2018","Improper Disposal","Paper/Films","No",""
"Charles Cole Memorial Hospital","PA","Healthcare Provider","790","07/13/2018","Hacking/IT Incident","Email","No",""
"Midwestern Regional Medical Center, Inc.","IL","Healthcare Provider","2675","07/12/2018","Unauthorized Access/Disclosure","Other","No",""
"Blue Springs Family Care, P.C.","MO","Healthcare Provider","44979","07/10/2018","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"MedEvolve","AR","Business Associate","205434","07/10/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"GOLDEN HEART ADMINISTRATIVE PROFESSIONALS","AK","Business Associate","44600","07/09/2018","Hacking/IT Incident","Network Server","Yes",""
"The Terteling Co., Inc., Group Benefit Plan ","ID","Health Plan","4824","07/06/2018","Hacking/IT Incident","Email","No",""
"Overlake arthritis and Osteoporosis Center","WA","Healthcare Provider","627","07/06/2018","Hacking/IT Incident","Desktop Computer","No",""
"VCU Health System ","VA","Healthcare Provider","4686","07/06/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Health Alliance Plan","MI","Health Plan","2814","07/05/2018","Hacking/IT Incident","Desktop Computer, Email","No",""
"Home for Little Wanderers","MA","Healthcare Provider","861","07/03/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Physician Associates, LLC","FL","Healthcare Provider","710","07/03/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Advanced Orthopedic Center","FL","Healthcare Provider","1647","07/02/2018","Hacking/IT Incident","Network Server","Yes",""
"Planned Parenthood of the Heartland","IA","Healthcare Provider","515","06/29/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Hunt Memorial Hospital District","TX","Healthcare Provider","1887","06/29/2018","Unauthorized Access/Disclosure","Email","No",""
"Arkansas Children's Hospital","AR","Healthcare Provider","4521","06/29/2018","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"State of Alaska Department of Health and Social Services","AK","Health Plan","501","06/28/2018","Hacking/IT Incident","Desktop Computer, Email","No",""
"Associated Dermatology & Skin Cancer Clinic of Helena, PC","MT","Healthcare Provider","1254","06/28/2018","Theft","Paper/Films","No",""
"Children's Mercy Hospital","MO","Healthcare Provider","1463","06/27/2018","Unauthorized Access/Disclosure","Other","No",""
"Community Cancer Center","IL","Healthcare Provider","500","06/26/2018","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"San Francisco Department of Public Health","CA","Healthcare Provider","900","06/25/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","871","06/25/2018","Theft","Laptop","No",""
"Progressions Behavioral Health Services, Inc.","PA","Healthcare Provider","1303","06/25/2018","Hacking/IT Incident","Email","No",""
"InfuSystem, Inc.","MI","Healthcare Provider","3882","06/22/2018","Hacking/IT Incident","Email","No",""
"VA Long Beach Healthcare System","CA","Healthcare Provider","1030","06/22/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Family Healthcare of Lake Norman","NC","Healthcare Provider","500","06/19/2018","Hacking/IT Incident","Network Server","No",""
"Peter J Parker, M.D., Inc.","CA","Healthcare Provider","628","06/19/2018","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"David S. Ng, O.D.","CA","Healthcare Provider","758","06/16/2018","Theft","Other Portable Electronic Device","No",""
"New Jersey Department of Human Services","NJ","Health Plan","1263","06/15/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"CHRISTUS Spohn Hospital Corpus Christi-Shoreline","TX","Healthcare Provider","1805","06/15/2018","Theft","Paper/Films","No",""
"Dean Health Plan","WI","Health Plan","1311","06/15/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Gwenn S Robinson MD","NM","Healthcare Provider","2500","06/14/2018","Hacking/IT Incident","Desktop Computer","No",""
"Med Associates, Inc.","NY","Business Associate","276057","06/14/2018","Hacking/IT Incident","Desktop Computer","Yes",""
"Black River Medical Center","MO","Healthcare Provider","13443","06/13/2018","Hacking/IT Incident","Email","No",""
"WellCare Health Plans, Inc.","FL","Health Plan","1101","06/13/2018","Unauthorized Access/Disclosure","Other","Yes",""
"HealthEquity, Inc.","UT","Business Associate","16000","06/12/2018","Hacking/IT Incident","Email","Yes",""
"Denise M. Bowden, LAc","CA","Healthcare Provider","538","06/11/2018","Theft","Desktop Computer","No",""
"Healthland Inc.","MN","Business Associate","614","06/10/2018","Unauthorized Access/Disclosure","Other","Yes",""
"New England Baptist Health","MA","Healthcare Provider","7582","06/08/2018","Unauthorized Access/Disclosure","Email","No",""
"Massac County Surgery Center dba Orthopaedic Institute Surgery Center","IL","Healthcare Provider","2000","06/08/2018","Hacking/IT Incident","Email","No",""
"RISE Wisconsin, Inc.","WI","Healthcare Provider","3731","06/07/2018","Hacking/IT Incident","Network Server","No",""
"Benefit Outsourcing Solutions","MI","Business Associate","1144","06/07/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Terros Incorporated","AZ","Healthcare Provider","1618","06/05/2018","Hacking/IT Incident","Email","No",""
"University of Utah Health","UT","Healthcare Provider","607","06/02/2018","Theft","Laptop, Other Portable Electronic Device","No",""
"Capitol Anesthesiology Association","TX","Healthcare Provider","2231","06/01/2018","Hacking/IT Incident","Network Server","Yes",""
"Florida Agency for Persons with Disabilities","FL","Health Plan","1951","06/01/2018","Unauthorized Access/Disclosure","Email","No",""
"SimplyWell","TX","Business Associate","597","06/01/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Dignity Health","CA","Healthcare Provider","55947","05/31/2018","Unauthorized Access/Disclosure","Email","Yes",""
"The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider","1266","05/31/2018","Unauthorized Access/Disclosure","Email","No",""
"Aflac","GA","Health Plan","10396","05/29/2018","Hacking/IT Incident","Email","Yes",""
"The Trustees of Purdue University","IN","Healthcare Provider","1711","05/25/2018","Hacking/IT Incident","Desktop Computer","No",""
"Aultman Hospital","OH","Healthcare Provider","42625","05/25/2018","Hacking/IT Incident","Email","No",""
"BioIQ Inc.","CA","Business Associate","4059","05/25/2018","Unauthorized Access/Disclosure","Email","Yes",""
"MSK Group","TN","Healthcare Provider","566236","05/22/2018","Hacking/IT Incident","Network Server","No",""
"Muir Medical Group, IPA, Inc.","CA","Business Associate","5485","05/22/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Echo Canyon Healthcare, Incorporated dba Heritage Court Post Acute of Scottsdale","AZ","Healthcare Provider","1765","05/21/2018","Theft","Paper/Films","No",""
"Holland Eye Surgery and Laser Center","MI","Healthcare Provider","42200","05/18/2018","Hacking/IT Incident","Desktop Computer","No",""
"Associates in Psychiatry and Psychology","MN","Healthcare Provider","6546","05/18/2018","Hacking/IT Incident","Network Server","No",""
"Hancock County Board of Developmental Disabilities","OH","Healthcare Provider","607","05/17/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"LifeBridge Health, Inc","MD","Healthcare Provider","538127","05/15/2018","Hacking/IT Incident","Network Server","No",""
"OrthoWest, Ltd.","OH","Healthcare Provider","2300","05/14/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Capitol Administrators, Inc","CA","Business Associate","1733","05/11/2018","Hacking/IT Incident","Email","Yes",""
"Cambridge Dental Consulting Group","NV","Business Associate","3758","05/09/2018","Unauthorized Access/Disclosure","Other","Yes",""
"Boys Town National Research Hospital","NE","","2182","05/09/2018","Hacking/IT Incident","Email","Yes",""
"USACS Management Group, Ltd.","OH","Business Associate","15552","05/08/2018","Hacking/IT Incident","Email","Yes",""
"The Oregon Clinic, P.C. (“The Oregon Clinic”)","OR","Healthcare Provider","64487","05/08/2018","Hacking/IT Incident","Email","No",""
"Cerebral Palsy Research Foundation of Kansas, Inc.","KS","Healthcare Provider","8300","05/08/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Baptist Health","AR","Healthcare Provider","3453","05/07/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Baystate Family Dental, Inc.","MA","Healthcare Provider","500","05/04/2018","Theft","Paper/Films","No",""
"Florida Hospital ","FL","Healthcare Provider","12724","05/03/2018","Hacking/IT Incident","Network Server","No",""
"Worldwide Insurance Services, LLC","PA","Business Associate","1692","04/30/2018","Hacking/IT Incident","Email","Yes",""
"Complete Family Medicine, LLC","NE","Healthcare Provider","1331","04/30/2018","Theft","Laptop, Paper/Films","No",""
"Medical Center Ophthalmology Associates","TX","Healthcare Provider","3017","04/30/2018","Unauthorized Access/Disclosure","Email","No",""
"Walgreen Co.","IL","Healthcare Provider","703","04/27/2018","Theft","Paper/Films","No",""
"Knoxville Heart Group, Inc.","TN","Healthcare Provider","15995","04/27/2018","Hacking/IT Incident","Email","No",""
"MedWatch LLC","FL","Business Associate","40621","04/27/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"Eye Care Surgery Center, Inc. ","LA","Healthcare Provider","2553","04/27/2018","Theft","Laptop","No",""
"Tiger Vision, LLC","LA","Healthcare Provider","2553","04/27/2018","Theft","Laptop","No",""
"Carolina Digestive Health Associates, PA","NC","Healthcare Provider","10988","04/26/2018","Unauthorized Access/Disclosure","Desktop Computer","No",""
"CareFirst BlueCross BlueShield","MD","Health Plan","6200","04/26/2018","Hacking/IT Incident","Email","No",""
"Illinois Department of Healthcare and Family Services","IL","Health Plan","8000","04/26/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Scenic Bluffs Health Center Inc","WI","Healthcare Provider","2889","04/24/2018","Hacking/IT Incident","Email","No",""
"Riverside Medical Center","IL","Healthcare Provider","501","04/20/2018","Theft","Desktop Computer, Other","No",""
"Capital District Physicians’ Health Plan","NY","Health Plan","839","04/20/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Michael Gruber DMD PA","NJ","Healthcare Provider","4624","04/20/2018","Hacking/IT Incident","Desktop Computer, Email, Network Server","No",""
"Center for Orthopaedic Specialists - Providence Medical Institute (PMI)","CA","Healthcare Provider","81550","04/18/2018","Hacking/IT Incident","Network Server","No",""
"Kansas Department for Aging and Disability Services","KS","Healthcare Provider","11000","04/17/2018","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Iowa Health System d/b/a UnityPoint Health","IA","Business Associate","16429","04/16/2018","Hacking/IT Incident","Email","Yes",""
"Athens Heart Center, P.C.","GA","Healthcare Provider","12158","04/16/2018","Hacking/IT Incident","Electronic Medical Record","No",""
"Cornerstone Foot & Ankle","NJ","Healthcare Provider","533","04/16/2018","Unauthorized Access/Disclosure","Email","No",""
"ATI Holdings, LLC and its subsidiaries","IL","Business Associate","1776","04/13/2018","Hacking/IT Incident","Email","Yes",""
"MorshedEye, PLLC","KY","Healthcare Provider","1100","04/13/2018","Unauthorized Access/Disclosure","Email","No",""
"Polk County Health Services, Inc","IA","Health Plan","1071","04/12/2018","Unauthorized Access/Disclosure","Email","No",""
"Atchison Hospital Association","KS","Healthcare Provider","667","04/11/2018","Hacking/IT Incident","Network Server","Yes",""
"Henry Ford Health System","MI","Healthcare Provider","1658","04/10/2018","Loss","Other Portable Electronic Device","No",""
"ViaTech Publishing Solutions, Inc.","MN","Health Plan","896","04/10/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"ViaTech Publishing Solutions, Inc.","MN","Health Plan","2431","04/10/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Integrated Rehab Consultants","IL","Healthcare Provider","4292","04/09/2018","Unauthorized Access/Disclosure","Network Server","Yes",""
"CA Department of Developmental Services","CA","Health Plan","582174","04/06/2018","Theft","Paper/Films","No",""
"Walgreen Co.","IL","Healthcare Provider","910","04/06/2018","Theft","Other","No",""
"Diagnostic Radiology & Imaging, LLC","NC","Healthcare Provider","800","04/05/2018","Hacking/IT Incident","Email","No",""
"Wisconsin Department of Health Services","WI","Health Plan","779","04/03/2018","Theft","Laptop","Yes",""
"Fondren Orthopedic Group L.L.P.","TX","Healthcare Provider","11552","04/02/2018","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"QUALITY-CARE PHARMACY","CA","Healthcare Provider","2000","04/02/2018","Theft","Desktop Computer, Other, Other Portable Electronic Device, Paper/Films","No",""
"Sonoma County Indian Health Project, Inc","CA","Healthcare Provider","662","03/30/2018","Unauthorized Access/Disclosure","Desktop Computer, Email","No",""
"Guardian Pharmacy of Jacksonville","FL","Healthcare Provider","11521","03/30/2018","Hacking/IT Incident","Email","No",""
"Children’s National Medical Center ","DC","Healthcare Provider","722","03/30/2018","Theft","Laptop","No",""
"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group","CA","Healthcare Provider","2640","03/30/2018","Theft","Laptop","No",""
"NYC Health + Hospitals/Harlem","NY","Healthcare Provider","595","03/29/2018","Theft","Laptop","No",""
"Cambridge Health Alliance","MA","Healthcare Provider","2280","03/28/2018","Hacking/IT Incident","Other","No",""
"Walmart Inc.","AR","Healthcare Provider","741","03/26/2018","Unauthorized Access/Disclosure","Email, Other","No",""
"City of Houston Medical Plan","TX","Health Plan","34637","03/22/2018","Theft","Laptop","No",""
"National Mentor Healthcare, LLC.","MA","Healthcare Provider","1015","03/21/2018","Loss","Other Portable Electronic Device","Yes",""
"Mentor ABI, LLC","MA","Healthcare Provider","994","03/21/2018","Loss","Other Portable Electronic Device","Yes",""
"Center for Comprehensive Services, Inc.","MA","Healthcare Provider","1176","03/21/2018","Loss","Other Portable Electronic Device","Yes",""
"CareMeridian, LLC","MA","Healthcare Provider","1922","03/21/2018","Loss","Other Portable Electronic Device","Yes",""
"Primary Health Care, Inc.","IA","Healthcare Provider","10313","03/16/2018","Hacking/IT Incident","Email","No",""
"UnitedHealth Group Single Affiliated Covered Entity ","MN","Health Plan","1755","03/15/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"ATI Holdings, LLC and its subsidiaries ","IL","Healthcare Provider","35136","03/12/2018","Hacking/IT Incident","Email","No",""
"Barnes-Jewish St. Peters Hospital","MO","Healthcare Provider","15046","03/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Barnes-Jewish Hospital","MO","Healthcare Provider","18436","03/12/2018","Unauthorized Access/Disclosure","Network Server","No",""
"Front Range Dermatology Associates, P.C.","CO","Healthcare Provider","1070","03/07/2018","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop","No",""
"John J. Pershing VA Medical Center","MO","Healthcare Provider","1843","03/07/2018","Unauthorized Access/Disclosure","Paper/Films","No",""
"Esther V. Rettig, M.D., P.A.","KS","Healthcare Provider","13500","03/01/2018","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Florida Agency Persons for Disabilities","FL","Health Plan","63627","03/01/2018","Hacking/IT Incident","Email","No",""
"Memorial Hospital at Gulfport","MS","Healthcare Provider","1512","02/28/2018","Unauthorized Access/Disclosure","Email","No",""
"St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center","NY","Healthcare Provider","134512","02/28/2018","Hacking/IT Incident","Network Server","No",""
"Union Lake Supermarket, LLC","NJ","Healthcare Provider","9956","02/28/2018","Improper Disposal","Other Portable Electronic Device","No",""
"Artesia General Hospital","NM","Healthcare Provider","864","02/27/2018","Hacking/IT Incident","Network Server","Yes",""
