Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2018,2018 HWC,Maternal Mortality,Maryland,35,23.5,0.3,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Florida,36,23.8,0.33,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Montana,37,24.4,0.39,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Wyoming,38,24.6,0.42,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,New Mexico,39,25.6,0.52,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,South Carolina,40,26.5,0.62,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,South Dakota,41,28,0.78,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Missouri,42,32.6,1.27,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Texas,43,34.2,1.44,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Arkansas,44,34.8,1.5,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,New Jersey,45,38.1,1.85,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Indiana,46,41.4,2,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Louisiana,47,44.8,2,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Georgia,48,46.2,2,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Alaska,,,,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,Vermont,,,,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,United States,,20.7,,,,CDC WONDER Mortality files,2011-2015
2018,2018 HWC,Maternal Mortality,District of Columbia,,36.1,,,,CDC WONDER Mortality files,2011-2015
