StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q6,Q7,mTurkCode
2018-01-12 15:22:15,2018-01-12 15:22:41,IP Address,65.246.1.5,100,25,True,2018-01-12 15:22:41,R_8jGwcULI0bsLZLz,,,,,39.328094482422,-76.638496398926,anonymous,EN,My daughter when she is not near me.,Seeing my daughter grow up.,29,Maryland,9
2018-01-12 15:21:46,2018-01-12 15:22:55,IP Address,79.7.238.61,100,68,True,2018-01-12 15:22:55,R_3MnvvkGwSyCtHqM,,,,,45.748001098633,9.8419952392578,anonymous,EN,Failing my big selection test this summer,"To imagine my life when I'll move in with my partner, hopefully in a few months",26,Italu,3
2018-01-12 15:27:26,2018-01-12 15:27:51,IP Address,104.13.66.213,100,25,True,2018-01-12 15:27:51,R_9pfCkOrEwzyctiN,,,,,29.90510559082,-95.16780090332,anonymous,EN,death,my son,41,Texas,1
2018-01-12 15:29:41,2018-01-12 15:30:12,IP Address,173.92.71.115,100,31,True,2018-01-12 15:30:13,R_3lAiUq9Wn4od0kA,,,,,35.131103515625,-80.851196289062,anonymous,EN,"Dying ","My Children ",33,"North Carolina ",2
2018-01-12 15:29:57,2018-01-12 15:30:26,IP Address,99.170.171.70,100,28,True,2018-01-12 15:30:26,R_1Qi9BJDxrmAuBeN,,,,,33.554702758789,-84.187202453613,anonymous,EN,Something bad happening to my children,My Children,35,GA,9
2018-01-12 15:30:15,2018-01-12 15:30:57,IP Address,98.206.137.42,100,41,True,2018-01-12 15:30:57,R_3EyzM6SWENv8kVp,,,,,42.077194213867,-87.72859954834,anonymous,EN,drowning,Travel,58,Illinois,8
2018-01-12 15:31:13,2018-01-12 15:31:46,IP Address,73.174.30.96,100,32,True,2018-01-12 15:31:46,R_Tn2jF9wuU5KNtOp,,,,,40.622406005859,-79.145401000977,anonymous,EN,Cancer,my son,43,Pennsylvania,3
2018-01-12 15:31:04,2018-01-12 15:31:53,IP Address,68.81.42.79,100,49,True,2018-01-12 15:31:54,R_3CBdDvpi1JccCXM,,,,,40.270095825195,-75.403999328613,anonymous,EN,loss of health,my husband,58,Pennsylvania,6
2018-01-12 15:31:50,2018-01-12 15:33:40,IP Address,73.38.26.220,100,109,True,2018-01-12 15:33:40,R_1Edq56qHDjoW5lT,,,,,41.524307250977,-72.075897216797,anonymous,EN,Being judged like Salem witches,My family,64,Connecticut,1
2018-01-12 15:36:48,2018-01-12 15:37:37,IP Address,108.34.212.92,100,48,True,2018-01-12 15:37:37,R_3ezedsME335sp6v,,,,,41.921096801758,-71.434997558594,anonymous,EN,not being where I want to be in life,my children,29,ri,9
2018-01-12 15:40:05,2018-01-12 15:40:47,IP Address,73.116.60.27,100,41,True,2018-01-12 15:40:47,R_1gcqNi5vZJJxB80,,,,,38.668106079102,-121.37359619141,anonymous,EN,To be a bad person.,To be a great person,41,CA,1
2018-01-12 15:41:23,2018-01-12 15:41:46,IP Address,104.180.230.130,100,23,True,2018-01-12 15:41:46,R_2QyNKiS5oNkldRo,,,,,38.851806640625,-94.778602600098,anonymous,EN,Failure,My sons,37,Kansas,9
2018-01-12 15:43:25,2018-01-12 15:44:07,IP Address,96.230.195.211,100,41,True,2018-01-12 15:44:08,R_3erGEiAhfBOaal9,,,,,42.672302246094,-71.083702087402,anonymous,EN,Loss of autonomy,Feeling loved,26,"New Hampshire, United States",5
2018-01-12 15:47:16,2018-01-12 15:47:40,IP Address,71.76.45.168,100,24,True,2018-01-12 15:47:41,R_3MbUQ3O0CrjBCke,,,,,34.195404052734,-79.762603759766,anonymous,EN,A HIT this poorly paid.,Hanging out w/ my wife,29,US,7
2018-01-12 15:50:47,2018-01-12 15:51:01,IP Address,75.98.102.155,100,14,True,2018-01-12 15:51:02,R_11i0ZKeNc0W9EHM,,,,,37.148895263672,-93.26139831543,anonymous,EN,Fear itself,My fiancee,20,"USA, MO",1
2018-01-12 15:49:42,2018-01-12 15:51:07,IP Address,106.203.34.102,100,85,True,2018-01-12 15:51:07,R_1NDl7j3VvhByAIe,,,,,11.649993896484,78.166687011719,anonymous,EN,ghosts,games,30,India,7
2018-01-12 15:50:34,2018-01-12 15:51:23,IP Address,94.177.137.39,100,48,True,2018-01-12 15:51:23,R_2bHoI0ZA1kHeGR7,,,,,46.566696166992,26.899993896484,anonymous,EN,life,soccer,28,Romania,4
2018-01-12 15:51:08,2018-01-12 15:51:56,IP Address,73.164.115.221,100,47,True,2018-01-12 15:51:56,R_2q9kfXVl843x707,,,,,45.028503417969,-93.298896789551,anonymous,EN,Never finding love,Talking to my friend Mike,30,Minnesota,5
2018-01-12 15:51:32,2018-01-12 15:53:04,IP Address,184.53.16.136,100,92,True,2018-01-12 15:53:05,R_0kPp9oC08pZ2HgR,,,,,39.952301025391,-75.163803100586,anonymous,EN,Heights,Being with loved ones,39,California,2
2018-01-12 15:52:07,2018-01-12 15:53:08,IP Address,66.250.143.159,100,60,True,2018-01-12 15:53:08,R_1BSiGM6Fh8UqKxt,,,,,39.959701538086,-75.196800231934,anonymous,EN,death,wealth,55,USA,2
2018-01-12 15:53:47,2018-01-12 15:54:38,IP Address,73.11.54.96,100,51,True,2018-01-12 15:54:39,R_3sFMS8LWC0T6uSl,,,,,45.014801025391,-123.01559448242,anonymous,EN,right now my greatest fear is that 2 cents is too little pay for this,getting paid more than 2 cents for this,28,United States,3
2018-01-12 15:57:09,2018-01-12 15:57:34,IP Address,184.54.194.220,100,25,True,2018-01-12 15:57:34,R_23fPCxLZxf4KH0x,,,,,39.360107421875,-84.309898376465,anonymous,EN,painful death,My daughter,36,Ohio,9
2018-01-12 16:05:53,2018-01-12 16:06:39,IP Address,107.209.105.137,100,46,True,2018-01-12 16:06:39,R_2pKT7v1dDfTwBEe,,,,,32.583801269531,-97.414199829102,anonymous,EN,My son not having a great life.,My son,39,Texas,8
2018-01-12 16:05:49,2018-01-12 16:07:57,IP Address,66.232.87.158,100,128,True,2018-01-12 16:07:57,R_1DU56YqJcftUDmv,,,,,44.651992797852,-114.154296875,anonymous,EN,not being able to love,to one day have kids,35,idaho,5
2018-01-12 16:07:38,2018-01-12 16:08:25,IP Address,136.242.88.163,100,46,True,2018-01-12 16:08:25,R_2zwNfKMYoLc0fdq,,,,,38.933197021484,-76.996299743652,anonymous,EN,Being alone,Dancing,30,Rhode Island,7
2018-01-12 16:10:41,2018-01-12 16:11:43,IP Address,174.110.82.173,100,62,True,2018-01-12 16:11:44,R_2UWynuGL4oBNSVY,,,,,34.933898925781,-78.822601318359,anonymous,EN,To die not having done anything with my life.,My son and his smile,31,NC,7
2018-01-12 16:12:39,2018-01-12 16:13:01,IP Address,207.182.65.60,100,22,True,2018-01-12 16:13:01,R_1kGkyvi79cEjeOq,,,,,30.871704101562,-83.333396911621,anonymous,EN,heights,family,31,Georgia,1
2018-01-12 15:20:36,2018-01-12 16:24:20,IP Address,73.216.148.113,100,3823,True,2018-01-12 16:24:20,R_3qgwJUvFSkuqhak,,,,,37.516006469727,-77.500503540039,anonymous,EN,dying alone,my pc,31,va,3
2018-01-12 16:35:11,2018-01-12 16:36:29,IP Address,209.213.34.142,100,78,True,2018-01-12 16:36:29,R_3HUj0fA4yzlflRO,,,,,39.250198364258,-111.51950073242,anonymous,EN,economic collaspe,My family,58,Utah,9
2018-01-12 16:37:27,2018-01-12 16:38:16,IP Address,99.105.80.78,100,49,True,2018-01-12 16:38:17,R_3qDNRhgiw5FcNjb,,,,,41.392807006836,-81.734703063965,anonymous,EN,Alzheimers,My son,67,Ohio,8
2018-01-12 16:44:27,2018-01-12 16:44:55,IP Address,207.66.231.24,100,27,True,2018-01-12 16:44:55,R_3MFPukxG5wX8HMT,,,,,47.610305786133,-122.33409881592,anonymous,EN,death,love,30,Washington,4
2018-01-12 16:47:43,2018-01-12 16:48:17,IP Address,120.142.125.24,100,34,True,2018-01-12 16:48:18,R_2VEXVaDfpkX74pr,,,,,37.511093139648,126.97430419922,anonymous,EN,my child's death,my child,32,"united states, west virginia",7
2018-01-12 16:47:44,2018-01-12 16:48:36,IP Address,173.65.167.58,100,52,True,2018-01-12 16:48:37,R_D7XsYRpKi9ATPUt,,,,,27.862594604492,-82.709396362305,anonymous,EN,failing myself,providing for others,35,"US, Florida",2
2018-01-12 16:49:40,2018-01-12 16:50:12,IP Address,129.45.98.242,100,32,True,2018-01-12 16:50:12,R_11j7ZKjZFcf8kjv,,,,,34.844696044922,1.5478057861328,anonymous,EN,Failer,To be loved,23,Algeria,7
2018-01-12 16:56:33,2018-01-12 16:57:03,IP Address,107.198.35.221,100,29,True,2018-01-12 16:57:04,R_2qszPncYUltKVkq,,,,,42.331802368164,-83.371002197266,anonymous,EN,Death,Love,48,Michigan,7
2018-01-12 17:00:05,2018-01-12 17:00:32,IP Address,131.230.40.62,100,26,True,2018-01-12 17:00:32,R_2q4OqwsevQHNT1A,,,,,37.732696533203,-89.203399658203,anonymous,EN,snakes,children,45,illinois,3
2018-01-12 16:59:34,2018-01-12 17:00:32,IP Address,59.96.0.93,100,57,True,2018-01-12 17:00:32,R_RyMnn8LFZMEcGMV,,,,,10.516693115234,76.216705322266,anonymous,EN,losing loved ones,success,43,India,3
2018-01-12 16:59:50,2018-01-12 17:00:39,IP Address,184.7.240.214,100,49,True,2018-01-12 17:00:40,R_3oRcdojUivtdlbJ,,,,,32.331893920898,-95.522399902344,anonymous,EN,death,grandchildren,60,USA,9
2018-01-12 17:08:38,2018-01-12 17:09:19,IP Address,128.147.28.69,100,41,True,2018-01-12 17:09:20,R_2f96wL7b48upgwD,,,,,40.422302246094,-79.979103088379,anonymous,EN,Losing the ones I love.,Sitting on a beach.,29,Pennsylvania,6
2018-01-12 17:09:32,2018-01-12 17:10:00,IP Address,68.45.42.193,100,28,True,2018-01-12 17:10:00,R_1pnRG31oXGshveU,,,,,39.083602905273,-86.432098388672,anonymous,EN,Heights,Kids,59,Indiana,5
2018-01-12 17:11:46,2018-01-12 17:13:03,IP Address,96.246.247.52,100,77,True,2018-01-12 17:13:03,R_A1LqX8X6xi89WOB,,,,,40.751693725586,-73.883201599121,anonymous,EN,"My greatest fear is living in ill-health and poverty. ","My greatest joy is seeing other people succeed in life. ",58,New York,5
2018-01-12 17:13:51,2018-01-12 17:14:33,IP Address,71.222.11.40,100,42,True,2018-01-12 17:14:34,R_1JVEEQHtWxpaoJ6,,,,,36.180999755859,-115.17009735107,anonymous,EN,BAD HEALTH,MY WIFE AND SON,56,NEVADA,8
2018-01-12 17:15:04,2018-01-12 17:15:33,IP Address,90.203.79.199,100,28,True,2018-01-12 17:15:33,R_1DZSU4QriKAmGKY,,,,,51.466705322266,-0.10000610351562,anonymous,EN,Suffocation,Dogs,28,Massachusetts,6
2018-01-12 17:15:46,2018-01-12 17:16:09,Spam,90.203.79.199,100,22,True,2018-01-12 17:16:09,R_22E1gXAz75DfSpf,,,,,51.466705322266,-0.10000610351562,anonymous,EN,Suffocation,Dogs,28,Massachusetts,4
2018-01-12 17:25:50,2018-01-12 17:26:14,IP Address,207.225.150.4,100,23,True,2018-01-12 17:26:14,R_2CrkJWl0l0CmRu1,,,,,44.927795410156,-93.116203308105,anonymous,EN,unhappiness,my pets,26,Minnesota,3
2018-01-12 17:27:58,2018-01-12 17:29:00,IP Address,72.92.212.5,100,62,True,2018-01-12 17:29:00,R_2ZX0ttfcJXYTVFC,,,,,42.095199584961,-80.092796325684,anonymous,EN,nuclear annihilation,Being alive in the 21st century,69,Pennsylvania,9
2018-01-12 17:45:15,2018-01-12 17:45:44,IP Address,107.213.216.165,100,29,True,2018-01-12 17:45:45,R_2YfdV0pgPY2RHko,,,,,25.60319519043,-80.334701538086,anonymous,EN,Fire,Children,44,Florida,6
2018-01-12 17:45:32,2018-01-12 17:45:56,IP Address,162.197.68.246,100,24,True,2018-01-12 17:45:57,R_2sYEFARlmNebLzg,,,,,42.212707519531,-84.395698547363,anonymous,EN,Heights,Sleep,25,Michigan,1
2018-01-12 17:52:11,2018-01-12 17:52:39,IP Address,47.37.249.104,100,28,True,2018-01-12 17:52:39,R_2f37PIBhSVdBmsM,,,,,34.940505981445,-82.167198181152,anonymous,EN,failure,my kids,31,USA,6
2018-01-12 17:53:57,2018-01-12 17:54:23,IP Address,146.135.108.34,100,26,True,2018-01-12 17:54:23,R_2upQQMIocHt14fp,,,,,36.009704589844,-115.14790344238,anonymous,EN,dying alone,my puppies,39,nevada,3
2018-01-12 17:56:35,2018-01-12 17:57:22,IP Address,71.206.199.188,100,47,True,2018-01-12 17:57:22,R_3Eh5YTeKkiTxGLG,,,,,40.773101806641,-80.395896911621,anonymous,EN,Losing my kids,"My children ",40,"Pennsylvania ",3
2018-01-12 17:59:53,2018-01-12 18:03:58,IP Address,192.251.189.75,100,245,True,2018-01-12 18:03:59,R_1ie68evsu0RmbAT,,,,,32.778701782227,-96.821701049805,anonymous,EN,Loosing My Child,My Child,30,Alabama,1
2018-01-12 18:10:28,2018-01-12 18:11:53,IP Address,107.77.161.2,100,85,True,2018-01-12 18:11:54,R_2rSOFlnylC16xXP,,,,,37.751007080078,-97.821998596191,anonymous,EN,"Unexpected ","Love ",54,CT,7
2018-01-12 18:29:50,2018-01-12 18:30:16,IP Address,68.47.59.177,100,25,True,2018-01-12 18:30:16,R_1nTtIQuXEv8rRQI,,,,,44.878402709961,-93.279296875,anonymous,EN,heights,sex,41,minnesota,9
2018-01-12 18:30:38,2018-01-12 18:30:57,IP Address,69.204.67.209,100,19,True,2018-01-12 18:30:57,R_tX1SejxOKRLfLhL,,,,,43.07080078125,-78.820098876953,anonymous,EN,Death,My kida,32,Usa,1
2018-01-12 18:32:47,2018-01-12 18:33:27,IP Address,155.186.129.22,100,40,True,2018-01-12 18:33:28,R_1LktkPRUiBnL0Dy,,,,,33.554702758789,-84.187202453613,anonymous,EN,failure,children,45,Georgia,4
2018-01-12 18:33:23,2018-01-12 18:33:56,IP Address,193.171.220.113,100,32,True,2018-01-12 18:33:56,R_02tNiqMmwlLpeYp,,,,,47.083297729492,15.541702270508,anonymous,EN,Loneliness,Family,22,"Austria ",4
2018-01-12 18:27:11,2018-01-12 18:35:26,IP Address,157.50.21.145,100,494,True,2018-01-12 18:35:26,R_1DAq0XeDqUCZIa2,,,,,11.233306884766,78.166687011719,anonymous,EN,While i am in trouble,My family is  in happy situation,38,India,4
2018-01-12 18:36:23,2018-01-12 18:37:13,IP Address,100.38.237.20,100,49,True,2018-01-12 18:37:14,R_3rJsPe79TJHctRO,,,,,40.861801147461,-73.315101623535,anonymous,EN,not having enough money,my son,56,"New York, USA",5
2018-01-12 18:38:42,2018-01-12 18:39:23,IP Address,70.161.89.59,100,40,True,2018-01-12 18:39:23,R_eydOYa2yS9JUM4V,,,,,36.806396484375,-76.414596557617,anonymous,EN,Being lost or disconnected,Being in the presence of God,28,Virginia,4
2018-01-12 18:42:24,2018-01-12 18:42:42,IP Address,108.253.33.34,100,18,True,2018-01-12 18:42:42,R_1q9y1n9d260lCY7,,,,,37.779098510742,-122.21580505371,anonymous,EN,Failure,Winning,23,California,1
2018-01-12 18:55:42,2018-01-12 18:56:49,IP Address,72.230.65.67,100,66,True,2018-01-12 18:56:49,R_1It3afrazSJ8exP,,,,,43.050994873047,-76.176902770996,anonymous,EN,Something bad happening to my family.,My son.,35,"US, New York ",6
2018-01-12 19:01:21,2018-01-12 19:02:49,IP Address,59.99.221.249,100,87,True,2018-01-12 19:02:50,R_3iPDmtvSaeGZq2N,,,,,8.30810546875,77.221405029297,anonymous,EN,CONFUSION,SURVEY,22,AMERICA,7
2018-01-12 19:02:45,2018-01-12 19:03:24,IP Address,104.10.168.42,100,38,True,2018-01-12 19:03:24,R_3lyo4tPeBNB1rIX,,,,,33.872192382812,-117.87030029297,anonymous,EN,My kids dying before me,My family,45,California,6
2018-01-12 19:15:17,2018-01-12 19:15:57,IP Address,104.240.176.188,100,39,True,2018-01-12 19:15:57,R_1JJ845Q3H2BecCw,,,,,39.303100585938,-82.082801818848,anonymous,EN,Heights,My son,46,Ohio,6
2018-01-12 19:16:04,2018-01-12 19:17:08,IP Address,108.46.244.210,100,63,True,2018-01-12 19:17:10,R_CeG4niJORyWEYgN,,,,,40.876007080078,-73.871597290039,anonymous,EN,War,Life,47,NewYork,9
2018-01-12 19:20:28,2018-01-12 19:25:48,IP Address,45.51.190.197,100,319,True,2018-01-12 19:25:48,R_ZyO881Gyb1258M9,,,,,34.257202148438,-118.41949462891,anonymous,EN,Breaking my promises,Telling stories,27,United States,2
2018-01-12 19:25:58,2018-01-12 19:27:15,IP Address,173.244.200.82,100,77,True,2018-01-12 19:27:16,R_1j6zcnNWYP5WlYd,,,,,40.730804443359,-73.997497558594,anonymous,EN,That I will have my back go out and not being able to get to my Chiropractor.,My faith in Jesus Christ.,66,Missouri,6
2018-01-12 19:27:03,2018-01-12 19:27:45,IP Address,99.68.44.106,100,41,True,2018-01-12 19:27:45,R_2ZK77tKeMbP8nDe,,,,,30.098297119141,-95.357002258301,anonymous,EN,Parents dying,God,46,Texas,5
2018-01-12 19:27:17,2018-01-12 19:28:49,IP Address,174.196.129.125,100,92,True,2018-01-12 19:28:50,R_sTZ86Ucd77GIN45,,,,,35.789794921875,-88.974197387695,anonymous,EN,Dieing and leaving my family,My son,58,Tennessee,1
2018-01-12 19:30:46,2018-01-12 19:31:20,IP Address,172.101.71.114,100,34,True,2018-01-12 19:31:20,R_p0DyRH4PNDT9VqF,,,,,42.986404418945,-78.727897644043,anonymous,EN,Being broke.,My home!,58,USA,8
2018-01-12 19:32:33,2018-01-12 19:33:16,IP Address,75.106.91.201,100,43,True,2018-01-12 19:33:16,R_25ZQsQ8Og8E15bS,,,,,35.18229675293,-83.381500244141,anonymous,EN,"Death of a loved one ","My children ",45,"Alabama ",6
2018-01-12 19:39:22,2018-01-12 19:40:20,IP Address,174.106.3.46,100,58,True,2018-01-12 19:40:20,R_3NEBttL1WATDRhC,,,,,33.908294677734,-78.078498840332,anonymous,EN,My greatest fear is that my child who has had severe special needs since birth will pass.,My child is my greatest joy.,48,"Us, NC",9
2018-01-12 19:42:17,2018-01-12 19:43:00,IP Address,76.177.211.203,100,43,True,2018-01-12 19:43:01,R_1jE78o3zPdj6cpj,,,,,37.968505859375,-84.146003723145,anonymous,EN,displeasing God,helping others,32,Kentucky,7
2018-01-12 19:43:35,2018-01-12 19:46:51,IP Address,75.38.109.16,100,195,True,2018-01-12 19:46:51,R_31ynDGT7eEPEfli,,,,,39.385498046875,-119.67530059814,anonymous,EN,Losing my aging parents,Simply being alive and marveling at the world/universe.,49,"Nevada, USA",2
2018-01-12 19:48:16,2018-01-12 19:48:58,IP Address,99.168.104.148,100,41,True,2018-01-12 19:48:58,R_1eS5pHjqRc6E8Hz,,,,,33.176895141602,-96.698501586914,anonymous,EN,not being loved,knowing God's love,52,"Usa, Texas",4
2018-01-12 19:59:04,2018-01-12 19:59:33,IP Address,68.50.230.200,100,29,True,2018-01-12 19:59:33,R_10Sg9myud8dc7WN,,,,,41.098693847656,-85.11799621582,anonymous,EN,Losing my son,My son,45,Indiana,4
2018-01-12 20:01:19,2018-01-12 20:01:50,IP Address,99.22.57.178,100,31,True,2018-01-12 20:01:50,R_RgVMbVFb7PWz8wp,,,,,38.581695556641,-90.294998168945,anonymous,EN,Being alone,Travel,37,"Missouri ",5
2018-01-12 20:02:05,2018-01-12 20:02:27,IP Address,108.220.223.33,100,21,True,2018-01-12 20:02:27,R_27sePWiYZTgzorh,,,,,33.763305664062,-117.79420471191,anonymous,EN,Being poor.,Being free.,28,CA,9
2018-01-12 20:02:50,2018-01-12 20:04:14,IP Address,50.32.127.18,100,84,True,2018-01-12 20:04:15,R_1NX1V9jIbNWi6n7,,,,,41.342407226562,-75.99040222168,anonymous,EN,heights,being with family,67,Pennsylvania,8
2018-01-12 20:04:58,2018-01-12 20:06:09,IP Address,174.107.108.45,100,71,True,2018-01-12 20:06:09,R_2fwdXYT0Tznyans,,,,,33.907501220703,-81.230102539062,anonymous,EN,losing control,my son,44,United States. South Carolina.,6
2018-01-12 20:05:42,2018-01-12 20:06:15,IP Address,47.150.202.164,100,32,True,2018-01-12 20:06:15,R_7VsV5OTaLrBE6sh,,,,,34.500793457031,-117.18589782715,anonymous,EN,money,family,40,california,4
