Unique Films,revenue,rating,cat,Inciting Incident,pp1,Lock In,pp2,First Culmination (Midpoint),pp3,Main Culmination (End of Act Two),pp4,Third Act Twist,pp5,runtime
Finding Nemo,940335536,7.6,rev,"After an attack by a barracuda, Marlin is left a widower and his entire clutch of eggs has been destroyed. Upon further inspection, he discovers that one egg, Nemo, survived. He promises the little Nemo: “I’ll never let anything happen to you.” ",4,"On his first day of school, Nemo is dared by some of his classmates to swim out into open water to touch a boat. Marlin’s father shows up to prevent him from doing so, but Nemo defies his father’s wishes and touches the boat anyway. But just as he’s about to swim back in, he is captured by two divers. Marlin has no choice but to frantically swim after the divers, who get in their boat and motor away.",15,"Having only an address gleaned from a pair of the diver’s goggles, which fell off the boat that took his son, Marlin has been blindly making his way across the ocean when he gets directions from a school of fish and sets out with his traveling companion, Dory (Ellen Degeneres), but instead of following the fishes’ instructions, they swim over a canyon and are surrounded by jellyfish. Marlin does all he can to save Dory from the jellies before fainting himself.",48,"Dory and Marlin are trapped in the belly of a whale. Marlin gives up all hope of escaping, but he won’t follow Dory to the back of the throat. Finally, Dory convinces him to “Let go,” and he literally lets go and he falls deeper into the whale. As everything seems to be lost, the whale blows them out of his blowhole and into the Sydney harbor, where they know Nemo will be found.",73,"After Nemo has escaped from the dentist’s tank and been reunited with Marlin, Dory is swept up in a fishing net. Their reunion seems to be soured until Marlin and Nemo save Dory by getting all the fish in the net to swim in the same direction. ",87,100
Harry Potter and the Order of the Phoenix,938212738,7.4,rev,,,,,,,,,,,
Harry Potter and the Half-Blood Prince,933959197,7.4,rev,,,,,,,,,,,
The Lord of the Rings: The Two Towers,926287400,8,rev,,,,,,,,,,,
Star Wars: Episode I - The Phantom Menace,924317558,6.3,rev,,,,,,,,,,,
Jurassic Park,920100000,7.6,rev,,,,,,,,,,,
Shrek 2,919838758,6.7,rev,,,,,,,,,,,
Harry Potter and the Goblet of Fire,895921036,7.5,rev,,,,,,,,,,,
Spider-Man 3,890871626,5.9,rev,,,,,,,,,,,
Ice Age: Dawn of the Dinosaurs,886686817,6.5,rev,,,,,,,,,,,
Spectre,880674609,6.3,rev,,,,,,,,,,,
Ice Age: Continental Drift,877244782,6.2,rev,,,,,,,,,,,
Harry Potter and the Chamber of Secrets,876688482,7.4,rev,,,,,,,,,,,
The Secret Life of Pets,875958308,5.9,rev,,,,,,,,,,,
Batman v Superman: Dawn of Justice,873260194,5.7,rev,,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring,871368364,8,rev,,,,,,,,,,,
Inside Out,857611174,8,rev,,,,,,,,,,,
Star Wars: Episode III - Revenge of the Sith,850000000,7.1,rev,,,,,,,,,,,
The Hunger Games: Catching Fire,847423452,7.4,rev,,,,,,,,,,,
Transformers: Revenge of the Fallen,836297228,6,rev,,,,,,,,,,,
The Twilight Saga: Breaking Dawn - Part 2,829000000,6.1,rev,,,,,,,,,,,
Inception,825532764,8.1,rev,,,,,,,,,,,
Spider-Man,821708551,6.8,rev,,,,,,,,,,,
The Shawshank Redemption,28341469,8.5,rate,,,,,,,,,,,
The Godfather,245066411,8.4,rate,,,,,,,,,,,
Schindler's List,321365567,8.3,rate,,,,,,,,,,,
Spirited Away,274925095,8.3,rate,,,,,,,,,,,
Pulp Fiction,213928762,8.3,rate,,,,,,,,,,,
Fight Club,100853753,8.3,rate,,,,,,,,,,,
The Godfather: Part II,47542841,8.3,rate,,,,,,,,,,,
Whiplash,13092000,8.3,rate,,,,,,,,,,,
Forrest Gump,677945399,8.2,rate,"On his first day of school, Forrest (Tom Hanks) enters the school bus, but all the other kids refuse to let him sit down; however, one little girl named Jenny offers the empty seat next to her, and this sets up Forrest's love affair with Jenny (Robin Wright). Forrest explains, ""From that day we was always together. Jenny and me was like peas and carrots.""",12,"After graduating college, Forrest enlists in the Army and is sent to Vietnam. Forrest is once again on a bus – now a military bus – and the other new recruits refuse to let him sit down: however, a black man named Bubba (Mykelti Williamson) offers him a seat, and the rest is history. Bubba immediately becomes Forrest's ""best good friend.""",32,"While in Washington, D.C. to receive his Medal of Honor, Forrest accidentally ends up on stage as part of an anti-war rally and is asked to speak to thousands of people filling the National Mall. Even though the microphone cuts out during his speech, Jenny – now part of the hippie counterculture – hears his name and yells out from the crowd. Forrest and Jenny run to each other, reuniting in the Reflecting Pool to the cheers of thousands. ",64,"While on his Shrimp boat with Lt. Dan (Gary Sinise), Forrest receives a phone call that his mama (Sally Field) is sick. Upon arriving home, Forrest discovers she's dying of cancer. During this heartfelt farewell, she explains that she was destined to be his mama. But when Forrest asks about his own destiny, she responds, ""Life is like a box of chocolates. You never know what you're going to get.""",99,"Now in present day, Forrest reveals that he is waiting at the bus stop because he received a letter from Jenny and is there to visit her. Once he is reunited with Jenny, Forrest discovers that she has a young son, also named Forrest. Jenny reveals, ""I named him after his daddy."" Forrest discovers that he is the boy's father.",120,142
The Empire Strikes Back,538400000,8.2,rate,,,,,,,,,,,
The Green Mile,284600000,8.2,rate,,,,,,,,,,,
Howl's Moving Castle,234710455,8.2,rate,,,,,,,,,,,
Princess Mononoke,159375308,8.2,rate,,,,,,,,,,,
One Flew Over the Cuckoo's Nest,108981275,8.2,rate,,,,,,,,,,,
GoodFellas,46836394,8.2,rate,,,,,,,,,,,
Psycho,32000000,8.2,rate,,,,,,,,,,,
American History X,23875127,8.2,rate,,,,,,,,,,,
12 Angry Men,1000000,8.2,rate,,,,,,,,,,,
Seven Samurai,271841,8.2,rate,,,,,,,,,,,
Once Upon a Time in America,0,8.2,rate,,,,,,,,,,,
Star Wars,775398007,8.1,rate,,,,,,,,,,,
Interstellar,675120017,8.1,rate,The falling dust forms a striped picture on the floor like a bar code.,20,"He takes the spaceship with three other astronauts: Brand, Romilly (David Gyasi), Doyle (Wes Bentley) and the robot Tars (Bill Irwin), and sets out for the journey to another galaxy.",42,That means Plan A won’t work. His real intention was Plan B. He didn’t tell the truth because he believed it’s easier to make people save themselves than make them save their species.,103,"Cooper lets the ranger spin in step with the ship, docks on it and lights its gesture control rocket. The spinning slows down… then stops. The ship is saved.",131,"On the other side, Murph is about to leave with the refugees. She suddenly sees her watch hand is waving ticking back and forth. She knows it’s her father!",152,169
Se7en,327311859,8.1,rate,,,,,,,,,,,
The Silence of the Lambs,272742922,8.1,rate,,,,,,,,,,,
Dead Poets Society,235860116,8.1,rate,,,,,,,,,,,
The Shining,44017374,8.1,rate,,,,,,,,,,,
Memento,39723096,8.1,rate,,,,,,,,,,,
Room,35401758,8.1,rate,,,,,,,,,,,
City of God,30641770,8.1,rate,,,,,,,,,,,
The Usual Suspects,23341568,8.1,rate,,,,,,,,,,,
Modern Times,8500000,8.1,rate,,,,,,,,,,,
"The Good, the Bad and the Ugly",6000000,8.1,rate,,,,,,,,,,,
Once Upon a Time in the West,5321508,8.1,rate,,,,,,,,,,,
The Lion King,788241776,8,rate,,,,,,,,,,,
Back to the Future,381109762,8,rate,"Marty McFly (Michael J. Fox) meets Doc Brown (Christopher Loyd) at the Twin Pines Mall at 1:15 AM to help him conduct an experiment involving a tricked-out DeLorean. When the DeLorean carrying Doc's dog Einstein disintegrates in a flash of lighting, flames shooting between their legs, Doc is ecstatic shouting, “Eighty-eight miles per hour!” Marty can only look on in horror thinking that Doc has killed Einstein. He soon learns, though, that Doc has just invented time travel.",23,"Doc prepares to travel into the future, but Libyan terrorists arrive seeking revenge for the plutonium Doc stole from them. Doc is gunned down, and Marty is forced to flee in the DeLorean. After a car chase around the parking lot, Marty hammers the accelerator, pushing the car to 88 miles an hour, sending him back in time to 1955",32,"The young Doc Brown of 1955 agrees to help Marty get back to 1985 by using the energy from a bolt of lightning set to strike the town clock tower, warning Marty that he must not interact with anyone, but Marty has already disrupted the space/time continuum by bumping into both his mother, Lorraine Baines (Lea Thompson) and father, George McFly (Crispin Glover). And to their horror, they discover that Marty's brother is slowly vanishing from a photograph Marty has. If Marty cannot mend the damage he has caused, he and his siblings will be erased from existence.",56,"Marty manages to get his parents back together, but his future isn't safe until they kiss for the very first time on the dance floor. While sitting in on guitar with the band, Marty watches as another guy rips Lorraine from George's arms. His very future now hanging in the balance, Marty starts to weaken, fumbling at the strings as he begins to fade from existence. Luckily, George reclaims his future bride and kisses her, thereby saving Marty and his siblings. ",86,"Marty arrives in 1985, hoping that he will somehow be able to save Doc from the terrorists, but he’s too late, and can only sit weeping next to his fallen friend bemoaning the fact that if Doc hadn't torn up the letter Marty had given him in 1955, he might have lived. As luck would have it, Doc wakes up, revealing that he is wearing a bulletproof vest. To Marty's astonishment, Doc hands him a taped-up copy of the letter. When Marty asks him why he would risk screwing up the future, Doc smiles impishly and says, “Well, I figured, what the hell.”",105,116
The Imitation Game,233555708,8,rate,,,,,,,,,,,
The Grand Budapest Hotel,174600318,8,rate,,,,,,,,,,,
The Pianist,120072577,8,rate,,,,,,,,,,,
The Prestige,109676311,8,rate,,,,,,,,,,,
Apocalypse Now,89460381,8,rate,,,,,,,,,,,
Scarface,65884703,8,rate,,,,,,,,,,,
Taxi Driver,28262574,8,rate,,,,,,,,,,,
Some Like It Hot,25000000,8,rate,,,,,,,,,,,
Oldboy,14980005,8,rate,,,,,,,,,,,
