City,Country,Region,Totals,,
Luang Prabang,Laos,Southeast Asia,,,
Lung Prabang,Laos,Southeast Asia,,,
N/A,Maldives,Southeast Asia,,,
N/A,Singapore,Southeast Asia,,,
Bangkok,Thailand,Southeast Asia,,,
Harar,Ethiopia,Sub-Saharan Africa,12,,
N/A,Madagascar,Sub-Saharan Africa,,,
N/A,Mauritius,Sub-Saharan Africa,,,
N/A,Mozambique,Sub-Saharan Africa,,,
Kigali,Rwanda,Sub-Saharan Africa,,,
N/A,Sao Tome & Principe,Sub-Saharan Africa,,,
N/A,Sao Tome and Principe,Sub-Saharan Africa,,,
Dakar,Senegal,Sub-Saharan Africa,,,
Ruaha National Park,Tanzania,Sub-Saharan Africa,,,
Liuwa Plain National Park,Zambia,Sub-Saharan Africa,,,
N/A,Zambia,Sub-Saharan Africa,,,
N/A,Zimbabwe,Sub-Saharan Africa,,,
Brussels,Belgium,Western Europe,37,,
Ypres,Belgium,Western Europe,,,
Copenhagen,Denmark,Western Europe,,,
Copenhagen,Denmark,Western Europe,,,
Bristol,England,Western Europe,,,
London,England,Western Europe,,,
Archipelago Sea,Finland,Western Europe,,,
Arles,France,Western Europe,,,
Megeve,France,Western Europe,,,
Normandy,France,Western Europe,,,
Bayreuth,Germany,Western Europe,,,
Hamburg,Germany,Western Europe,,,
N/A,Germany,Western Europe,,,
Western,Germany,Western Europe,,,
The Peloponnese,Greece,Western Europe,,,
N/A,Greenland,Western Europe,,,
N/A,Iceland,Western Europe,,,
N/A,Iceland,Western Europe,,,
Dublin,Ireland,Western Europe,,,
N/A,Ireland,Western Europe,,,
N/A,Ireland,Western Europe,,,
Basilicata,Italy,Western Europe,,,
Emilia-Romagna,Italy,Western Europe,,,
Piedmont,Italy,Western Europe,,,
Rome,Italy,Western Europe,,,
Salina Island,Italy,Western Europe,,,
Sudtirol,Italy,Western Europe,,,
N/A,Malta,Western Europe,,,
Oslo,Norway,Western Europe,,,
Glasgow,Scotland,Western Europe,,,
Highlands,Scotland,Western Europe,,,
Mallorca ,Spain,Western Europe,,,
Ribera del duero,Spain,Western Europe,,,
Seville,Spain,Western Europe,,,
Malmo,Sweden,Western Europe,,,
Vierwaldstattersee,Switzerland,Western Europe,,,
